,Date,TrueHumidity,PredictedHumidity
146,2019-05-27,81,79.30699920654297
147,2019-05-28,83,80.18183898925781
148,2019-05-29,84,82.03318786621094
149,2019-05-30,85,82.58356475830078
150,2019-05-31,82,83.22250366210938
151,2019-01-06,81,81.52172088623047
152,2019-02-06,81,80.9969482421875
153,2019-03-06,83,80.96315002441406
154,2019-04-06,83,82.73789978027344
155,2019-05-06,84,82.86538696289062
156,2019-06-06,85,83.62360382080078
157,2019-07-06,86,84.1649398803711
158,2019-08-06,85,84.8037338256836
159,2019-09-06,85,84.3243408203125
160,2019-10-06,85,84.4671859741211
161,2019-11-06,82,84.5219497680664
162,2019-12-06,83,82.34957122802734
163,2019-06-13,86,83.32953643798828
164,2019-06-14,83,85.3340072631836
165,2019-06-15,83,83.3191146850586
166,2019-06-16,83,83.54085540771484
